id_surat,nomor_surat,tanggal_diterima,pengirim,perihal,jenis_surat_id,status,raw_data
SRT-2511,489/ITERA/BAU/2025,2025-03-03,Unit Kerja 11,Incidunt adipisci illum velit fugiat.,3,Selesai,{}
SRT-2512,490/ITERA/BAU/2024,2024-05-04,Biro Umum dan Keuangan,Aspernatur ea voluptate saepe commodi.,2,Selesai,{}
SRT-2513,491/ITERA/BAU/2024,2024-06-27,UPT TIK,Maxime ab possimus optio ipsam sit magni.,5,Proses,{}
SRT-2514,492/ITERA/BAU/2024,2024-08-13,Rektorat,Aut incidunt neque minima illum.,4,Disposisi,{}
SRT-2515,493/ITERA/BAU/2024,2024-04-02,Fakultas Teknologi Industri,Minima non assumenda consequuntur fuga.,2,Disposisi,{}
SRT-2516,494/ITERA/BAU/2024,2024-09-05,Fakultas Sains,Rerum officiis incidunt similique aut minus.,1,Proses,{}
SRT-2517,495/ITERA/BAU/2025,2025-04-05,Unit Kerja 13,Atque impedit voluptates ex inventore.,5,Proses,{}
SRT-2518,496/ITERA/BAU/2025,2025-06-26,Unit Kerja 13,Cumque quisquam possimus nihil.,3,Disposisi,{}
SRT-2519,497/ITERA/BAU/2024,2024-05-07,Unit Kerja 14,Facilis doloribus doloribus atque perferendis numquam sapiente minima.,2,Selesai,{}
SRT-2520,498/ITERA/BAU/2024,2024-06-17,Fakultas Sains,Natus sed delectus.,5,Proses,{}
SRT-2521,499/ITERA/BAU/2025,2025-01-05,UPT TIK,Quia corrupti voluptatibus error labore dicta.,4,Disposisi,{}
SRT-2522,500/ITERA/BAU/2025,2025-04-26,Jurusan Sains,Totam quisquam dicta numquam necessitatibus consequatur nihil laboriosam.,4,Selesai,{}
SRT-2523,501/ITERA/BAU/2025,2025-11-08,Unit Kerja 13,Fugit eum dolore explicabo.,1,Selesai,{}
SRT-2524,502/ITERA/BAU/2024,2024-06-06,Unit Kerja 14,Alias quidem delectus rem numquam cupiditate repellat.,5,Disposisi,{}
SRT-2525,503/ITERA/BAU/2025,2025-05-20,Prodi Informatika,At corporis nisi cum rem velit ipsa.,3,Disposisi,{}
SRT-2526,504/ITERA/BAU/2024,2024-01-18,Prodi Sains Data,Et perferendis recusandae labore.,2,Disposisi,{}
SRT-2527,505/ITERA/BAU/2025,2025-01-24,Fakultas Sains,Facere quo quam voluptatum.,5,Disposisi,{}
SRT-2528,506/ITERA/BAU/2025,2025-08-22,Unit Kerja 12,Laborum non quis quis possimus.,2,Selesai,{}
SRT-2529,507/ITERA/BAU/2025,2025-11-05,Unit Kerja 12,Impedit veniam ea enim debitis nesciunt quos.,4,Disposisi,{}
SRT-2530,508/ITERA/BAU/2025,2025-01-19,Fakultas Sains,Alias amet ad adipisci consequuntur consectetur eius.,2,Proses,{}
SRT-2531,509/ITERA/BAU/2024,2024-03-02,Rektorat,Expedita error suscipit perspiciatis.,1,Proses,{}
SRT-2532,510/ITERA/BAU/2024,2024-02-03,Unit Kerja 13,Cupiditate et repellat nihil dicta numquam consectetur repellat.,4,Disposisi,{}
SRT-2533,511/ITERA/BAU/2025,2025-09-03,Unit Kerja 11,Placeat in quae eaque esse nulla.,2,Disposisi,{}
SRT-2534,512/ITERA/BAU/2024,2024-03-22,UPT TIK,Aperiam nobis error ad magni temporibus.,2,Proses,{}
SRT-2535,513/ITERA/BAU/2025,2025-06-05,Prodi Informatika,Illum ipsum error ullam aperiam.,2,Disposisi,{}
SRT-2536,514/ITERA/BAU/2024,2024-03-16,Unit Kerja 14,Nam quas reprehenderit corrupti molestias.,5,Disposisi,{}
SRT-2537,515/ITERA/BAU/2025,2025-02-13,Unit Kerja 15,Odit deleniti delectus inventore similique eaque.,5,Disposisi,{}
SRT-2538,516/ITERA/BAU/2024,2024-04-16,Rektorat,Repellendus at soluta ipsam ratione expedita error dolores.,5,Proses,{}
SRT-2539,517/ITERA/BAU/2024,2024-09-10,Unit Kerja 15,Ipsam exercitationem ea voluptatem quisquam molestiae.,2,Selesai,{}
SRT-2540,518/ITERA/BAU/2024,2024-01-29,Fakultas Teknologi Industri,Ad vel veritatis repudiandae maxime labore repellendus et.,3,Disposisi,{}
SRT-2541,519/ITERA/BAU/2025,2025-10-02,UPT TIK,Totam iure accusamus iste natus tenetur illum.,5,Disposisi,{}
SRT-2542,520/ITERA/BAU/2024,2024-09-16,Fakultas Sains,Facere id fugiat non reprehenderit minima labore repudiandae.,2,Proses,{}
SRT-2543,521/ITERA/BAU/2023,2023-12-16,Unit Kerja 13,Unde laboriosam soluta illum.,4,Disposisi,{}
SRT-2544,522/ITERA/BAU/2025,2025-06-21,Unit Kerja 13,Nam tenetur recusandae rerum.,4,Selesai,{}
SRT-2545,523/ITERA/BAU/2024,2024-04-03,Fakultas Sains,Eveniet reiciendis tempore iste vel eos.,3,Proses,{}
SRT-2546,524/ITERA/BAU/2024,2024-08-16,Unit Kerja 12,Possimus illo voluptatibus animi rem consequatur libero facere.,4,Proses,{}
SRT-2547,525/ITERA/BAU/2023,2023-12-09,Unit Kerja 11,Laborum optio omnis culpa praesentium quam.,3,Selesai,{}
SRT-2548,526/ITERA/BAU/2023,2023-12-13,Unit Kerja 14,Occaecati ullam similique vero cum.,4,Disposisi,{}
SRT-2549,527/ITERA/BAU/2024,2024-02-27,UPT TIK,Sequi natus velit quibusdam dicta.,5,Selesai,{}
SRT-2550,528/ITERA/BAU/2025,2025-04-29,Biro Akademik Umum,Consectetur ad fugit consectetur quo deserunt.,1,Selesai,{}
SRT-2551,529/ITERA/BAU/2024,2024-02-26,Rektorat,Veritatis fugit neque iste at et earum asperiores.,5,Disposisi,{}
SRT-2552,530/ITERA/BAU/2025,2025-08-02,Unit Kerja 14,Cupiditate dolor ex labore commodi minus iure.,5,Proses,{}
SRT-2553,531/ITERA/BAU/2025,2025-06-21,Jurusan Sains,Quae esse dolorum ad.,4,Proses,{}
SRT-2554,532/ITERA/BAU/2025,2025-07-28,Fakultas Teknologi Industri,Aspernatur facere modi reprehenderit doloremque.,1,Proses,{}
SRT-2555,533/ITERA/BAU/2025,2025-05-28,Unit Kerja 12,Possimus possimus illum veniam neque.,2,Proses,{}
SRT-2556,534/ITERA/BAU/2025,2025-08-31,Jurusan Sains,Architecto sed quasi architecto culpa quo.,5,Disposisi,{}
SRT-2557,535/ITERA/BAU/2024,2024-11-25,Fakultas Sains,Sit totam dolorum impedit voluptatum ut tempora ipsa.,2,Selesai,{}
SRT-2558,536/ITERA/BAU/2024,2024-11-15,Rektorat,Iure hic adipisci quibusdam enim est.,2,Proses,{}
SRT-2559,537/ITERA/BAU/2025,2025-02-16,Unit Kerja 11,Molestiae assumenda atque recusandae.,3,Selesai,{}
SRT-2560,538/ITERA/BAU/2025,2025-04-17,Biro Akademik Umum,Maiores eos pariatur nam maiores mollitia mollitia.,3,Disposisi,{}
SRT-2561,539/ITERA/BAU/2024,2024-04-08,UPT TIK,Nulla ullam exercitationem exercitationem laborum illum voluptate.,2,Proses,{}
SRT-2562,540/ITERA/BAU/2025,2025-09-08,Biro Akademik Umum,Nihil culpa quam minima odio eligendi occaecati.,3,Disposisi,{}
SRT-2563,541/ITERA/BAU/2025,2025-07-12,Unit Kerja 11,Praesentium at voluptates enim architecto aut.,1,Selesai,{}
SRT-2564,542/ITERA/BAU/2024,2024-02-06,UPT TIK,Suscipit ex suscipit magni nam tenetur ipsum.,4,Proses,{}
SRT-2565,543/ITERA/BAU/2024,2024-10-10,Unit Kerja 15,Tenetur dolorum beatae ratione repellendus odit accusamus.,1,Disposisi,{}
SRT-2566,544/ITERA/BAU/2024,2024-08-09,Fakultas Sains,Sit veritatis perferendis consequuntur nam ad delectus.,3,Selesai,{}
SRT-2567,545/ITERA/BAU/2025,2025-10-12,Jurusan Teknologi Produksi dan Industri,Dicta eligendi enim dolore est possimus dolorum.,5,Proses,{}
SRT-2568,546/ITERA/BAU/2025,2025-01-26,Fakultas Teknologi Industri,Enim numquam eos ea dolorem nam corrupti.,1,Selesai,{}
SRT-2569,547/ITERA/BAU/2025,2025-07-22,Prodi Sains Data,Dicta ipsa magni maiores.,4,Selesai,{}
SRT-2570,548/ITERA/BAU/2023,2023-11-25,Unit Kerja 13,Expedita nihil commodi sunt consequuntur repellendus ipsum.,5,Selesai,{}
SRT-2571,549/ITERA/BAU/2024,2024-02-03,Unit Kerja 14,Perspiciatis est velit numquam harum minima.,1,Proses,{}
SRT-2572,550/ITERA/BAU/2025,2025-01-28,Biro Umum dan Keuangan,A at est est.,4,Disposisi,{}
SRT-2573,551/ITERA/BAU/2025,2025-03-11,Jurusan Sains,Delectus possimus accusamus illo vel laudantium.,4,Proses,{}
SRT-2574,552/ITERA/BAU/2025,2025-06-10,Unit Kerja 13,Velit saepe aliquam soluta.,2,Disposisi,{}
SRT-2575,553/ITERA/BAU/2024,2024-09-17,Rektorat,Maxime rem eius quibusdam fugit.,3,Proses,{}
SRT-2576,554/ITERA/BAU/2024,2024-06-01,Unit Kerja 14,Incidunt nemo eveniet natus accusantium veritatis.,1,Proses,{}
SRT-2577,555/ITERA/BAU/2024,2024-02-08,Fakultas Teknologi Industri,Libero laboriosam suscipit fugit ea.,5,Disposisi,{}
SRT-2578,556/ITERA/BAU/2024,2024-04-07,Unit Kerja 15,Delectus sint eligendi ipsam temporibus ullam inventore quam.,2,Proses,{}
SRT-2579,557/ITERA/BAU/2025,2025-07-13,Unit Kerja 13,Optio nostrum vitae consectetur.,2,Proses,{}
SRT-2580,558/ITERA/BAU/2025,2025-06-01,Fakultas Teknologi Industri,Occaecati laborum autem suscipit perferendis nulla nemo.,1,Disposisi,{}
SRT-2581,559/ITERA/BAU/2025,2025-01-04,Jurusan Teknologi Produksi dan Industri,Eum necessitatibus nihil expedita.,2,Disposisi,{}
SRT-2582,560/ITERA/BAU/2025,2025-10-12,Unit Kerja 11,Eius quibusdam alias commodi laboriosam.,5,Disposisi,{}
SRT-2583,561/ITERA/BAU/2024,2024-05-06,UPT TIK,Aperiam in illo.,1,Disposisi,{}
SRT-2584,562/ITERA/BAU/2025,2025-08-28,Unit Kerja 11,Facere illo fugiat velit ea.,1,Proses,{}
SRT-2585,563/ITERA/BAU/2024,2024-01-10,Biro Umum dan Keuangan,Minus illo similique minima sapiente eos autem.,3,Disposisi,{}
SRT-2586,564/ITERA/BAU/2025,2025-11-10,Prodi Informatika,Amet corrupti id expedita quam dicta.,2,Proses,{}
SRT-2587,565/ITERA/BAU/2024,2024-11-30,UPT TIK,Aliquam maxime totam reiciendis.,4,Disposisi,{}
SRT-2588,566/ITERA/BAU/2025,2025-06-03,Fakultas Sains,Ad dicta modi cum culpa veniam.,4,Proses,{}
SRT-2589,567/ITERA/BAU/2023,2023-12-31,Prodi Sains Data,Iste rerum inventore ex voluptatem impedit aliquam.,3,Proses,{}
SRT-2590,568/ITERA/BAU/2025,2025-02-27,Prodi Informatika,Doloremque atque illo reprehenderit illo.,4,Disposisi,{}
SRT-2591,569/ITERA/BAU/2025,2025-03-24,Prodi Sains Data,Inventore sapiente vitae hic recusandae similique provident.,4,Proses,{}
SRT-2592,570/ITERA/BAU/2025,2025-08-15,Rektorat,Provident veniam quisquam ab.,4,Proses,{}
SRT-2593,571/ITERA/BAU/2025,2025-10-21,Unit Kerja 11,Deserunt cupiditate vero similique.,3,Selesai,{}
SRT-2594,572/ITERA/BAU/2025,2025-09-04,Rektorat,Repellendus animi numquam ad facere.,3,Disposisi,{}
SRT-2595,573/ITERA/BAU/2025,2025-05-07,Biro Akademik Umum,Consectetur impedit atque.,4,Disposisi,{}
SRT-2596,574/ITERA/BAU/2024,2024-03-02,Rektorat,Pariatur occaecati quod perspiciatis.,5,Selesai,{}
SRT-2597,575/ITERA/BAU/2024,2024-05-09,Biro Umum dan Keuangan,Molestiae aut explicabo nobis nemo dolore.,1,Proses,{}
SRT-2598,576/ITERA/BAU/2025,2025-09-01,Fakultas Sains,Voluptates ea sunt fugit deserunt esse.,3,Proses,{}
SRT-2599,577/ITERA/BAU/2024,2024-03-25,Jurusan Sains,Iure at maiores amet.,1,Proses,{}
SRT-2600,578/ITERA/BAU/2025,2025-06-05,Unit Kerja 12,Assumenda adipisci accusamus.,4,Proses,{}
SRT-2601,579/ITERA/BAU/2024,2024-01-16,Prodi Sains Data,Inventore quis nisi laboriosam.,3,Proses,{}
SRT-2602,580/ITERA/BAU/2025,2025-06-28,Jurusan Sains,Aliquid tenetur laboriosam.,4,Selesai,{}
SRT-2603,581/ITERA/BAU/2024,2024-05-06,Unit Kerja 14,Harum nobis consequatur.,2,Disposisi,{}
SRT-2604,582/ITERA/BAU/2025,2025-04-30,Jurusan Sains,Corporis totam earum neque recusandae.,2,Selesai,{}
SRT-2605,583/ITERA/BAU/2024,2024-07-04,Rektorat,Iste mollitia dolores.,5,Selesai,{}
SRT-2606,584/ITERA/BAU/2025,2025-05-21,Fakultas Sains,Tempore placeat nostrum accusantium voluptatibus doloremque cumque facere.,3,Selesai,{}
SRT-2607,585/ITERA/BAU/2025,2025-08-04,Unit Kerja 11,Distinctio ipsa dolorum.,5,Disposisi,{}
SRT-2608,586/ITERA/BAU/2025,2025-11-08,Unit Kerja 11,Asperiores cumque fugiat distinctio soluta voluptas.,1,Disposisi,{}
SRT-2609,587/ITERA/BAU/2024,2024-10-17,Unit Kerja 13,Dolores molestiae praesentium architecto suscipit.,3,Disposisi,{}
SRT-2610,588/ITERA/BAU/2025,2025-02-01,Prodi Sains Data,Velit dignissimos totam blanditiis provident eveniet veniam.,1,Selesai,{}
SRT-2611,589/ITERA/BAU/2024,2024-11-22,Unit Kerja 15,Quod quisquam impedit.,4,Selesai,{}
SRT-2612,590/ITERA/BAU/2025,2025-06-05,Jurusan Teknologi Produksi dan Industri,Iusto minus consequuntur.,1,Disposisi,{}
SRT-2613,591/ITERA/BAU/2024,2024-02-18,Jurusan Teknologi Produksi dan Industri,Deleniti nihil corrupti quam esse culpa optio quas.,4,Selesai,{}
SRT-2614,592/ITERA/BAU/2024,2024-05-10,Jurusan Sains,Dolor veniam at quam explicabo perferendis ducimus.,1,Proses,{}
SRT-2615,593/ITERA/BAU/2025,2025-02-01,Jurusan Teknologi Produksi dan Industri,Tempore saepe consequuntur similique.,4,Proses,{}
SRT-2616,594/ITERA/BAU/2025,2025-01-05,Biro Akademik Umum,Officiis tempora assumenda deserunt perferendis minus.,1,Proses,{}
SRT-2617,595/ITERA/BAU/2025,2025-04-17,Jurusan Sains,Maiores tenetur tenetur dolorem.,2,Selesai,{}
SRT-2618,596/ITERA/BAU/2025,2025-01-19,Unit Kerja 14,Explicabo sed neque enim cum.,1,Proses,{}
SRT-2619,597/ITERA/BAU/2024,2024-01-07,Unit Kerja 15,Suscipit atque animi in nobis nulla dignissimos.,4,Selesai,{}
SRT-2620,598/ITERA/BAU/2025,2025-04-26,Unit Kerja 13,Et beatae fugiat ab minus ad nulla.,4,Selesai,{}
SRT-2621,599/ITERA/BAU/2024,2024-11-26,Prodi Sains Data,Nulla enim dolor expedita quasi omnis.,4,Disposisi,{}
SRT-2622,600/ITERA/BAU/2024,2024-12-03,Prodi Sains Data,In officiis doloremque cupiditate nam facilis.,4,Proses,{}
SRT-2623,601/ITERA/BAU/2025,2025-09-05,Biro Akademik Umum,Nihil tempora voluptate omnis hic aliquid tempora.,2,Selesai,{}
SRT-2624,602/ITERA/BAU/2025,2025-11-15,Unit Kerja 14,Quidem reprehenderit quibusdam eos assumenda non.,5,Proses,{}
SRT-2625,603/ITERA/BAU/2024,2024-10-31,Unit Kerja 15,Rerum perspiciatis voluptatem sapiente accusamus eum rerum.,2,Disposisi,{}
SRT-2626,604/ITERA/BAU/2024,2024-03-08,UPT TIK,Ipsum fuga alias quae.,5,Selesai,{}
SRT-2627,605/ITERA/BAU/2023,2023-11-28,Prodi Sains Data,Labore modi nulla nobis doloremque veritatis.,1,Selesai,{}
SRT-2628,606/ITERA/BAU/2025,2025-04-16,Biro Umum dan Keuangan,Harum in aliquid ut.,4,Disposisi,{}
SRT-2629,607/ITERA/BAU/2024,2024-08-30,Biro Umum dan Keuangan,Ut reiciendis impedit deserunt.,3,Selesai,{}
SRT-2630,608/ITERA/BAU/2024,2024-05-15,Biro Umum dan Keuangan,Placeat error autem.,1,Proses,{}
SRT-2631,609/ITERA/BAU/2024,2024-11-24,Prodi Sains Data,Amet tempora repudiandae accusantium dolorum fugit.,5,Selesai,{}
SRT-2632,610/ITERA/BAU/2024,2024-03-26,Unit Kerja 13,Exercitationem laboriosam ea nihil deleniti.,3,Selesai,{}
SRT-2633,611/ITERA/BAU/2025,2025-04-18,Prodi Informatika,Laudantium reiciendis asperiores eligendi odit hic fuga.,3,Disposisi,{}
SRT-2634,612/ITERA/BAU/2024,2024-06-22,Unit Kerja 13,Pariatur quas laborum exercitationem cupiditate minus.,2,Proses,{}
SRT-2635,613/ITERA/BAU/2025,2025-04-28,Unit Kerja 11,In recusandae voluptates cupiditate consequuntur cupiditate.,2,Selesai,{}
SRT-2636,614/ITERA/BAU/2024,2024-05-18,Unit Kerja 14,Tempore assumenda ipsum voluptates adipisci corrupti veniam.,3,Proses,{}
SRT-2637,615/ITERA/BAU/2025,2025-04-29,Biro Umum dan Keuangan,Eius asperiores quod alias.,4,Disposisi,{}
SRT-2638,616/ITERA/BAU/2024,2024-09-28,Unit Kerja 14,Eveniet eum distinctio harum labore deleniti.,1,Disposisi,{}
SRT-2639,617/ITERA/BAU/2024,2024-09-20,Fakultas Sains,Voluptates vitae iure aut.,2,Proses,{}
SRT-2640,618/ITERA/BAU/2025,2025-06-03,Unit Kerja 14,Voluptatum deserunt accusantium amet cum.,2,Proses,{}
SRT-2641,619/ITERA/BAU/2025,2025-03-25,Prodi Sains Data,Vitae nobis fuga consectetur.,3,Selesai,{}
SRT-2642,620/ITERA/BAU/2025,2025-01-21,Fakultas Sains,Eaque excepturi soluta debitis.,1,Proses,{}
SRT-2643,621/ITERA/BAU/2025,2025-04-11,Biro Umum dan Keuangan,Doloribus incidunt eos atque quas.,4,Proses,{}
SRT-2644,622/ITERA/BAU/2025,2025-01-12,Prodi Sains Data,Facere reprehenderit tenetur tempore.,5,Selesai,{}
SRT-2645,623/ITERA/BAU/2025,2025-10-11,Unit Kerja 14,Doloribus vitae dolor vero amet.,2,Disposisi,{}
SRT-2646,624/ITERA/BAU/2025,2025-04-29,UPT TIK,Magnam inventore fugit quidem nemo.,4,Disposisi,{}
SRT-2647,625/ITERA/BAU/2025,2025-01-21,Prodi Sains Data,Asperiores sequi nemo occaecati cupiditate quibusdam placeat.,1,Proses,{}
SRT-2648,626/ITERA/BAU/2025,2025-07-12,Unit Kerja 14,Autem aut mollitia nemo quo.,1,Disposisi,{}
SRT-2649,627/ITERA/BAU/2024,2024-11-22,Rektorat,Voluptatibus saepe illum vero facere aliquid nulla.,5,Disposisi,{}
SRT-2650,628/ITERA/BAU/2025,2025-03-20,Unit Kerja 12,Omnis inventore praesentium voluptate provident tempora minima.,5,Disposisi,{}
SRT-2651,629/ITERA/BAU/2025,2025-01-10,Unit Kerja 13,Fuga et beatae voluptate.,2,Selesai,{}
SRT-2652,630/ITERA/BAU/2025,2025-05-02,Prodi Informatika,Enim laudantium iure aut a.,4,Selesai,{}
SRT-2653,631/ITERA/BAU/2024,2024-05-26,Unit Kerja 12,Commodi sapiente minus.,5,Selesai,{}
SRT-2654,632/ITERA/BAU/2025,2025-07-22,Prodi Informatika,Adipisci eius iste possimus.,1,Proses,{}
SRT-2655,633/ITERA/BAU/2025,2025-03-06,Prodi Sains Data,Ex delectus eos similique animi.,2,Disposisi,{}
SRT-2656,634/ITERA/BAU/2025,2025-09-23,Biro Akademik Umum,Provident repellat at ipsum sed odio iste.,2,Selesai,{}
SRT-2657,635/ITERA/BAU/2024,2024-05-25,Biro Akademik Umum,Minima dignissimos repellat fugit illum.,1,Selesai,{}
SRT-2658,636/ITERA/BAU/2024,2024-01-08,Unit Kerja 13,Dolores amet expedita unde nemo ipsum aut hic.,1,Disposisi,{}
SRT-2659,637/ITERA/BAU/2024,2024-02-16,Biro Akademik Umum,Dolorum alias nihil quod labore totam.,1,Selesai,{}
SRT-2660,638/ITERA/BAU/2025,2025-06-11,UPT TIK,Cupiditate optio doloribus.,3,Proses,{}
SRT-2661,639/ITERA/BAU/2023,2023-12-26,Unit Kerja 12,Quo quos ducimus voluptatibus neque.,2,Selesai,{}
SRT-2662,640/ITERA/BAU/2024,2024-04-02,Unit Kerja 13,Eius alias facilis ullam qui vel.,2,Proses,{}
SRT-2663,641/ITERA/BAU/2025,2025-06-14,Unit Kerja 12,Ratione eum quasi.,4,Proses,{}
SRT-2664,642/ITERA/BAU/2024,2024-02-14,Unit Kerja 15,Accusamus dolorum id.,2,Disposisi,{}
SRT-2665,643/ITERA/BAU/2024,2024-07-22,Rektorat,In amet laudantium.,2,Disposisi,{}
SRT-2666,644/ITERA/BAU/2025,2025-01-22,Prodi Informatika,Aliquam eos incidunt quaerat laboriosam.,2,Selesai,{}
SRT-2667,645/ITERA/BAU/2024,2024-01-23,Biro Akademik Umum,Deserunt beatae nobis officia aut debitis.,2,Selesai,{}
SRT-2668,646/ITERA/BAU/2024,2024-01-29,Unit Kerja 12,Magnam ad modi expedita tenetur.,2,Proses,{}
SRT-2669,647/ITERA/BAU/2023,2023-12-22,Biro Akademik Umum,Ipsa veniam neque facilis ipsum nemo similique ad.,4,Proses,{}
SRT-2670,648/ITERA/BAU/2024,2024-02-07,UPT TIK,Commodi ducimus atque a aliquid sint asperiores sit.,2,Proses,{}
SRT-2671,649/ITERA/BAU/2025,2025-02-13,UPT TIK,Libero necessitatibus temporibus dolorem ducimus libero vero.,4,Proses,{}
SRT-2672,650/ITERA/BAU/2024,2024-01-22,Unit Kerja 14,Consectetur ullam repellat aspernatur cupiditate.,2,Disposisi,{}
SRT-2673,651/ITERA/BAU/2024,2024-08-31,Prodi Sains Data,Possimus et modi nobis explicabo.,1,Disposisi,{}
SRT-2674,652/ITERA/BAU/2025,2025-09-26,UPT TIK,Ipsam nesciunt iusto aliquam necessitatibus dicta adipisci labore.,5,Selesai,{}
SRT-2675,653/ITERA/BAU/2024,2024-09-24,Unit Kerja 14,Temporibus praesentium nemo non libero vel sint.,5,Selesai,{}
SRT-2676,654/ITERA/BAU/2025,2025-01-11,Unit Kerja 12,Sint magni saepe quae quos cupiditate in.,3,Proses,{}
SRT-2677,655/ITERA/BAU/2024,2024-10-18,Fakultas Teknologi Industri,Optio magni vel animi perspiciatis omnis.,5,Disposisi,{}
SRT-2678,656/ITERA/BAU/2025,2025-03-25,Unit Kerja 12,Omnis accusantium praesentium assumenda sequi corporis deserunt.,1,Disposisi,{}
SRT-2679,657/ITERA/BAU/2024,2024-06-10,Fakultas Sains,Sed tempora sequi placeat.,1,Proses,{}
SRT-2680,658/ITERA/BAU/2024,2024-01-02,Unit Kerja 12,Assumenda fugiat autem doloremque at ipsa.,5,Disposisi,{}
SRT-2681,659/ITERA/BAU/2024,2024-02-12,Prodi Sains Data,Dignissimos consectetur sunt.,5,Selesai,{}
SRT-2682,660/ITERA/BAU/2023,2023-12-11,Unit Kerja 11,Vel commodi nesciunt amet facilis.,5,Disposisi,{}
SRT-2683,661/ITERA/BAU/2024,2024-02-13,UPT TIK,Eos suscipit numquam unde.,5,Selesai,{}
SRT-2684,662/ITERA/BAU/2023,2023-12-07,Prodi Sains Data,Veritatis placeat totam ut dignissimos voluptas.,4,Proses,{}
SRT-2685,663/ITERA/BAU/2024,2024-01-26,Unit Kerja 14,Nihil officiis perferendis quidem dicta.,5,Proses,{}
SRT-2686,664/ITERA/BAU/2024,2024-11-14,Unit Kerja 15,Magni aperiam eos aliquam.,2,Selesai,{}
SRT-2687,665/ITERA/BAU/2024,2024-03-07,Prodi Sains Data,Culpa voluptatibus repellendus.,5,Disposisi,{}
SRT-2688,666/ITERA/BAU/2025,2025-10-29,Biro Umum dan Keuangan,Aperiam cum numquam eos accusantium necessitatibus.,1,Selesai,{}
SRT-2689,667/ITERA/BAU/2024,2024-02-06,Unit Kerja 11,Perferendis reiciendis minus asperiores officiis cumque non.,1,Selesai,{}
SRT-2690,668/ITERA/BAU/2025,2025-07-20,Biro Umum dan Keuangan,Praesentium rerum totam consequatur quas nesciunt atque vero.,2,Disposisi,{}
SRT-2691,669/ITERA/BAU/2024,2024-04-10,Jurusan Sains,Sed non ipsam sit ipsa.,1,Proses,{}
SRT-2692,670/ITERA/BAU/2025,2025-01-18,Rektorat,Iusto voluptates modi.,5,Proses,{}
SRT-2693,671/ITERA/BAU/2023,2023-12-04,Fakultas Teknologi Industri,Maxime atque itaque incidunt qui ea nam.,2,Selesai,{}
SRT-2694,672/ITERA/BAU/2024,2024-03-07,Unit Kerja 14,Labore quisquam facere reprehenderit.,3,Proses,{}
SRT-2695,673/ITERA/BAU/2024,2024-01-31,Prodi Sains Data,Ducimus ullam recusandae accusantium beatae.,2,Disposisi,{}
SRT-2696,674/ITERA/BAU/2025,2025-09-10,Biro Akademik Umum,Hic iste accusamus temporibus eos.,1,Disposisi,{}
SRT-2697,675/ITERA/BAU/2025,2025-11-08,Jurusan Teknologi Produksi dan Industri,Id reiciendis rem atque.,3,Proses,{}
SRT-2698,676/ITERA/BAU/2025,2025-09-08,Unit Kerja 15,Expedita voluptates quas corporis.,1,Selesai,{}
SRT-2699,677/ITERA/BAU/2024,2024-08-25,Unit Kerja 13,Aspernatur deserunt eveniet aliquam odit assumenda delectus.,1,Disposisi,{}
SRT-2700,678/ITERA/BAU/2024,2024-09-05,Unit Kerja 14,Eum neque expedita ea saepe.,3,Selesai,{}
SRT-2701,679/ITERA/BAU/2024,2024-01-07,Fakultas Sains,Perspiciatis aut perferendis sit vel perferendis.,5,Selesai,{}
SRT-2702,680/ITERA/BAU/2025,2025-03-04,Unit Kerja 11,Minima ipsum placeat laudantium incidunt.,2,Proses,{}
SRT-2703,681/ITERA/BAU/2024,2024-09-22,Jurusan Teknologi Produksi dan Industri,Nam nam error accusamus ex non.,1,Disposisi,{}
SRT-2704,682/ITERA/BAU/2025,2025-08-06,Unit Kerja 14,Rem quasi nemo minima nulla.,3,Selesai,{}
SRT-2705,683/ITERA/BAU/2025,2025-04-04,Prodi Sains Data,Mollitia sunt repudiandae.,2,Selesai,{}
SRT-2706,684/ITERA/BAU/2025,2025-10-18,Unit Kerja 13,Vero in sed velit enim.,3,Selesai,{}
SRT-2707,685/ITERA/BAU/2024,2024-05-22,Biro Umum dan Keuangan,Sunt doloremque quisquam.,3,Disposisi,{}
SRT-2708,686/ITERA/BAU/2025,2025-01-25,Unit Kerja 11,Minima hic ratione.,4,Selesai,{}
SRT-2709,687/ITERA/BAU/2024,2024-02-03,Unit Kerja 15,Incidunt tenetur voluptatibus similique quasi.,1,Selesai,{}
SRT-2710,688/ITERA/BAU/2024,2024-05-23,Fakultas Teknologi Industri,Suscipit tenetur tenetur fugit suscipit pariatur.,5,Proses,{}
SRT-2711,689/ITERA/BAU/2024,2024-12-25,Jurusan Sains,Nulla fugit expedita veniam mollitia dolorum.,4,Disposisi,{}
SRT-2712,690/ITERA/BAU/2025,2025-10-06,Prodi Sains Data,Minima reiciendis vel vitae sed placeat quisquam.,1,Proses,{}
SRT-2713,691/ITERA/BAU/2024,2024-12-26,Prodi Sains Data,Tempora optio reprehenderit veritatis ex molestiae.,5,Proses,{}
SRT-2714,692/ITERA/BAU/2024,2024-11-05,UPT TIK,Nobis aut tempore non fugiat.,5,Proses,{}
SRT-2715,693/ITERA/BAU/2024,2024-09-13,Biro Umum dan Keuangan,Itaque fugit aliquid a ad tenetur.,2,Selesai,{}
SRT-2716,694/ITERA/BAU/2024,2024-01-13,UPT TIK,Minima ab nihil delectus deleniti earum ullam.,5,Disposisi,{}
